Job Titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain,Key Skills to Maintain,How to Be AI-Proof,Time to Disruption,AI Impact Assessment
Project Analyst,45%,207,1901,0.1088900578642819,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Project Control Analyst,45%,200,1845,0.1084010840108401,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Project Management Consultant,45%,213,1949,0.1092868137506413,Sales & Marketing,,,10-12 years,
Director Of Ecommerce,45%,821,2899,0.2832011038289065,Hospitality,,,10-12 years,
Ecommerce Manager,45%,904,3345,0.270254110612855,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Merchandise Buyer,45%,677,2544,0.2661163522012578,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Autocad Draftsman,45%,539,2297,0.2346538963865912,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Concrete Pump Operator,45%,156,700,0.2228571428571428,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Land Surveyor,45%,323,1531,0.2109732201175702,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Claims Analyst,45%,732,2684,0.2727272727272727,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Claims Investigator,45%,733,2717,0.2697828487302171,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Insurance Appraiser,45%,394,1396,0.2822349570200573,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Insurance Investigator,45%,406,1386,0.2929292929292929,Sales & Marketing,,,10-12 years,
Insurance Underwriter,45%,464,1553,0.2987765614938828,Hospitality,,,10-12 years,
Band Director,45%,292,1241,0.2352941176470588,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Education Specialist,45%,462,1578,0.2927756653992395,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Environmental Educator,45%,410,1386,0.2958152958152958,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Training Manager,45%,238,2083,0.114258281325012,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Book Reviewer,45%,602,2164,0.27818853974122,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Clinical Research,45%,599,1940,0.3087628865979381,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",7-10 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
